trial_num,timestamp,event_type,vehicle1_id,vehicle2_id,v1_x,v1_y,v1_velocity,v1_heading,v1_pred_x,v1_pred_y,v1_pred_velocity,v1_pred_heading,v2_x,v2_y,v2_velocity,v2_heading,v2_pred_x,v2_pred_y,v2_pred_velocity,v2_pred_heading,relative_distance,relative_velocity_magnitude,relative_velocity_x,relative_velocity_y,relative_position_x,relative_position_y,b_plane_xi,b_plane_zeta,b_plane_miss_distance,b_plane_cov_xx,b_plane_cov_xy,b_plane_cov_yy,b_plane_mahalanobis_distance,b_plane_chi2_threshold,b_plane_confidence_level,v1_ukf_uncertainty_x,v1_ukf_uncertainty_y,v1_ukf_uncertainty_v,v1_ukf_uncertainty_heading,v1_ukf_position_uncertainty,v1_ukf_velocity_uncertainty,v1_ukf_cov_trace,v1_ukf_cov_det,v1_ukf_predicted_uncertainty_x,v1_ukf_predicted_uncertainty_y,v1_ukf_predicted_position_uncertainty,v1_ukf_predicted_cov_trace,v2_ukf_uncertainty_x,v2_ukf_uncertainty_y,v2_ukf_uncertainty_v,v2_ukf_uncertainty_heading,v2_ukf_position_uncertainty,v2_ukf_velocity_uncertainty,v2_ukf_cov_trace,v2_ukf_cov_det,v2_ukf_predicted_uncertainty_x,v2_ukf_predicted_uncertainty_y,v2_ukf_predicted_position_uncertainty,v2_ukf_predicted_cov_trace,combined_position_uncertainty,combined_velocity_uncertainty,combined_cov_trace,combined_predicted_cov_trace,time_to_closest_approach,closest_approach_distance,detection_confidence,detection_result,actual_crash_distance,crash_occurred,matched_to_crash,time_to_crash,is_false_positive,is_missed_crash
1,36.493000000000066,crash,2,37,-9395616.643883219,3348140.4560283246,10.03498450951929,-0.0019176740014160145,-9395615.487060547,3348140.4478149414,1.338751071569277,0.010564318345132051,-9395616.508506205,3348140.4581106515,14.849889983930534,-0.0004790325516710911,-9395615.19116211,3348140.480773926,-1.8137984676868655,-0.0038584479385121995,0.1353930279595619,4.8149375021147875,-4.8149222222824495,-0.012130236684765296,-0.13537701405584812,-0.002082326915115118,-0.032288318401879144,0.0,0.032288318401879144,0.00232354154707339,0.0,1e-09,0.4486838234221591,9.21034037197618,0.99,0.06155016003188721,0.03250316223166918,0.21548405266764528,0.012719808426298074,0.06960515609499868,0.21548405266764528,0.05144004823548337,1.9273147729567865e-11,0.07709698414032597,0.03406190430858534,0.08428616902351713,0.06379637562547476,0.06154816595925417,0.032513239187568564,0.21546755055650454,0.012719482264112713,0.06960809906480667,0.21546755055650454,0.05143333802730285,1.9268527214832164e-11,0.07709285635327179,0.03410457607568037,0.0842996477454566,0.06379289498458561,0.0984386367765476,0.30472880122642226,0.009690165210425069,0.014210588898668965,0.0,0.1353930279595619,0.0,False,0.1353930279595619,True,False,0.0,False,False
1,36.54400000000007,crash,2,37,-9395616.636150949,3348140.4542768523,10.06146340154901,0.001749273238815947,-9395615.37133789,3348140.446533203,1.5093584180576727,-0.0017090174233374,-9395616.517012574,3348140.4545351164,14.621247922589085,0.000327936469849384,-9395615.228271484,3348140.4958496094,-1.8562906944716815,0.0007625693841077918,0.11913865485244739,4.559817109484808,-4.559799128656634,0.012805399353071718,-0.11913837492465973,-0.00025826413184404373,-0.04936588109149109,0.0,0.04936588109149109,0.0023264420368730066,0.0,1e-09,1.0475181316852493,9.21034037197618,0.99,0.06156390222549223,0.03250950244539792,0.21549269206649008,0.012719670716468389,0.06962026864697737,0.21549269206649008,0.051445872163675806,1.92969047012349e-11,0.07712439287749726,0.034082281685981146,0.08431947522159465,0.06380494495068222,0.061551861086551855,0.03252737629037119,0.21547068505606265,0.012719371825456714,0.06961797046419536,0.21547068505606265,0.05143606034971674,1.9287877617133297e-11,0.07710018489509843,0.034129991234852754,0.08431663425771625,0.06379734555325173,0.09845630308939533,0.3047371268037291,0.009693643618030878,0.014219068714194604,0.0,0.11913865485244739,0.0,False,0.11913865485244739,True,False,0.0,False,False
1,36.59500000000007,crash,2,37,-9395616.636376329,3348140.4566614865,10.246596328275155,-0.0006804084109332388,-9395615.346435547,3348140.444580078,1.4852866822038777,0.0016704277475412255,-9395616.524856167,3348140.4557036427,14.2781691869952,-0.0021153728407716636,-9395615.349365234,3348140.498474121,-1.822375064220978,-0.01487742083509147,0.11152427522466248,4.031610220523143,-4.031543284599632,0.023231759000971346,-0.11152016185224056,0.0009578438475728035,-0.053870732295565674,0.0,0.053870732295565674,0.0023301560019262915,0.0,1e-09,1.2454341235786073,9.21034037197618,0.99,0.06154854421226873,0.03251459593600978,0.21549777023279576,0.012719616438469358,0.06960906725083725,0.21549777023279576,0.051446499861180196,1.9283583633746117e-11,0.07709350960839281,0.03409170242711942,0.0842950378024627,0.06380454419902447,0.06158406579334544,0.03255062746709129,0.21548950153308424,0.012719199248596158,0.06965730764349465,0.21548950153308424,0.051449643808643065,1.9361023883030168e-11,0.07716515140632911,0.034174520824267564,0.0843940665279852,0.0638117569885883,0.0984762039869127,0.3047540225268306,0.00969756275167204,0.014228011863248607,0.0,0.11152427522466248,0.0,False,0.11152427522466248,True,False,0.0,False,False
1,36.64700000000007,crash,2,37,-9395616.628887355,3348140.454821363,10.201080654774016,-0.0016764736236074232,-9395615.328125,3348140.4400634766,1.4511430462880526,-0.005421976229513348,-9395616.53121236,3348140.4566345005,14.086014101114023,0.002377211377286788,-9395615.46508789,3348140.493041992,-1.7660274711088277,-0.01643485815202439,0.0976918228139048,3.8852373270536154,-3.884907980773324,-0.05058723608240656,-0.09767499566078186,-0.0018131374381482601,-0.05140446230061425,0.0,0.05140446230061425,0.002332071140355742,0.0,1e-09,1.1330781032744086,9.21034037197618,0.99,0.061570414943875725,0.032519354230344834,0.21550544215488054,0.01271961215861894,0.06963062828899134,0.21550544215488054,0.05145280852775593,1.931862938693129e-11,0.07713736230745295,0.03409670733740726,0.08433716923755542,0.06381383571109062,0.0615659649170965,0.03256633662685779,0.2155164426122544,0.012719150650655523,0.0696486490713709,0.2155164426122544,0.05146004814698219,1.9367778272318647e-11,0.07712942606868613,0.034196939860762075,0.08437048691056309,0.06381588366659699,0.098485322324632,0.30477849765790843,0.009699358713386659,0.014231137176529563,0.0,0.0976918228139048,0.0,False,0.0976918228139048,True,False,0.0,False,False
1,36.64700000000007,detection,2,37,-9395616.628887355,3348140.454821363,10.201080654774016,-0.0016764736236074232,-9395615.283203125,3348140.459350586,1.4764014601241797,0.0004876901472457007,-9395616.53121236,3348140.4566345005,14.086014101114023,0.002377211377286788,-9395615.487548828,3348140.495666504,-1.5516950339952018,-0.006108375979351877,0.0976918228139048,3.8852373270536154,-3.884907980773324,-0.05058723608240656,-0.09767499566078186,-0.0018131374381482601,-0.035724727849043014,0.0,0.035724727849043014,0.002331651983644604,0.0,1e-09,0.5473613510251535,9.21034037197618,0.99,0.061570414943875725,0.032519354230344834,0.21550544215488054,0.01271961215861894,0.06963062828899134,0.21550544215488054,0.05145280852775593,1.931862938693129e-11,0.07716722981120185,0.034101283328304026,0.08436633737085014,0.06382206318520237,0.0615659649170965,0.03256633662685779,0.2155164426122544,0.012719150650655523,0.0696486490713709,0.2155164426122544,0.05146004814698219,1.9367778272318647e-11,0.077092281589117,0.034189820293840614,0.08433364507917836,0.06382127965359335,0.098485322324632,0.30477849765790843,0.009699358713386659,0.01422984257371293,0.0,0.0976918228139048,0.99,True,0.0,False,False,0.0,False,False
1,36.71300000000007,crash,2,37,-9395616.63301543,3348140.457364611,10.42763535206335,-0.0019239685111371262,-9395615.283203125,3348140.459350586,1.4771925659442786,0.0005894641130339551,-9395616.537447602,3348140.4596419856,14.048359979271586,0.0017882260649029545,-9395615.487548828,3348140.495666504,-1.5420872795803007,-0.005572077950887433,0.09559495903435282,3.621003387055835,-3.620721465372826,-0.04518405978089546,-0.09556782804429531,-0.0022773747332394123,-0.03579318083098264,0.0,0.03579318083098264,0.0023316657116151398,0.0,1e-09,0.5494577492894434,9.21034037197618,0.99,0.06158528984883085,0.032522295827408836,0.2155259678277301,0.012719604539226262,0.06964515526330602,0.2155259678277301,0.05146367879936406,1.9351451181581448e-11,0.07716722981120185,0.034101283328304026,0.08436633737085014,0.06382206393334601,0.061547434186677685,0.03257285859077073,0.21553074440803544,0.012719275777644964,0.06963531985808472,0.21553074440803544,0.051464359533127446,1.935559982135324e-11,0.077092281589117,0.034189820293840614,0.08433364507917836,0.0638212783009924,0.0984861686907749,0.30480312431660156,0.00969952542338777,0.01422984257371293,0.0,0.09559495903435282,0.0,False,0.09559495903435282,True,False,0.0,False,False
1,36.764000000000074,crash,2,37,-9395616.626658566,3348140.457723144,10.952831316345355,0.0016474646872477847,-9395615.2578125,3348140.467163086,1.4484060945978854,0.0062369831308615176,-9395616.53529498,3348140.4596966454,13.965789524923437,-0.004181435817332853,-9395615.49975586,3348140.4954833984,-1.336250086023938,0.009042764275136506,0.0913848983326812,3.0138205489083787,-3.0128509807472827,0.07644127702059404,-0.0913635864853859,-0.001973501406610012,-0.03015422667532031,0.0,0.03015422667532031,0.002331610091695482,0.0,1e-09,0.3899783199708995,9.21034037197618,0.99,0.06157691931381962,0.03252435906488296,0.2155521652552617,0.012719612877074253,0.06963871713897439,0.2155521652552617,0.05147407542273636,1.9354215753212875e-11,0.07715048746783788,0.03410302157464539,0.08435172669866182,0.06382844664764692,0.061567299273931494,0.03257542185390315,0.21553937811059798,0.01271946405459219,0.06965407704395771,0.21553937811059798,0.05147069873098498,1.93885113717688e-11,0.07713134715940798,0.034173653998036194,0.08436280781364859,0.06383236662211961,0.09849487993600319,0.3048277537602752,0.009701241373607682,0.014232297139248347,0.0,0.0913848983326812,0.0,False,0.0913848983326812,True,False,0.0,False,False
1,36.816000000000074,crash,2,37,-9395616.618048187,3348140.460369561,11.045306899522437,0.0031882188449306563,-9395615.287597656,3348140.4634399414,1.306941537593957,-0.0032301382791501965,-9395616.539691465,3348140.4581215647,13.800843972873349,-0.000750849077967493,-9395615.40258789,3348140.4661254883,-0.9696915244712727,-0.017945119714568136,0.078388962407239,2.7559662140854515,-2.7555893193558383,0.04557714594535925,-0.07835672236979008,0.002247996162623167,-0.0015932988764725273,0.0,0.0015932988764725273,0.0023289629181462417,0.0,1e-09,0.0010900136236558198,9.21034037197618,0.99,0.06159914354471995,0.03253860773945392,0.21558577750154367,0.012719667488796502,0.06966502335508877,0.21558577750154367,0.0514922328810357,1.941194542601413e-11,0.07719494812089962,0.03411310810672007,0.08439647006889066,0.06384728875001935,0.061550733239736234,0.03256210800447316,0.21554047909199978,0.012719733740548893,0.06963320788276343,0.21554047909199978,0.05146827339368339,1.935610621687144e-11,0.07709871292218323,0.03413377815552237,0.0843168212483585,0.06382833807403457,0.09849872648470746,0.3048523012676038,0.009701999119109211,0.014232090505516796,0.0,0.078388962407239,0.0,False,0.078388962407239,True,False,0.0,False,False
1,36.867000000000075,crash,2,37,-9395616.613303097,3348140.461941397,11.13314376903393,0.0024333701706618404,-9395615.30444336,3348140.4682006836,1.2053787782497238,0.002431312931435059,-9395616.543977488,3348140.4583086967,13.870008603401917,-0.0017921019316995408,-9395615.367919922,3348140.4635620117,-0.7732684281509137,-0.008177335077107273,0.0694207216284631,2.7373684753664187,-2.7368755229830306,0.05194748912347969,-0.06932560913264751,0.0036327000707387924,0.0047475023361298364,0.0,0.0047475023361298364,0.0023254250077020242,0.0,1e-09,0.009692326502427608,9.21034037197618,0.99,0.061557772009573485,0.032533311054735545,0.21560497028376066,0.012719756460181315,0.06962596945800328,0.21560497028376066,0.051495071038434446,1.9357645533268037e-11,0.07711225524421857,0.03409985349582238,0.08431547851543075,0.06384812089708279,0.061552071581560105,0.03254471056920329,0.21553255166628174,0.012719898657391012,0.06962625727421165,0.21553255166628174,0.05146389235164742,1.9334043197333102e-11,0.0771013548646207,0.03409860063013948,0.08430500273942182,0.06382682387955699,0.09846619381788613,0.3048602696955438,0.009695591324981517,0.014216433404179983,0.0,0.0694207216284631,0.0,False,0.0694207216284631,True,False,0.0,False,False
1,36.867000000000075,detection,2,37,-9395616.613303097,3348140.461941397,11.13314376903393,0.0024333701706618404,-9395615.294433594,3348140.4728393555,1.1687304271617904,0.0023872831062590194,-9395616.543977488,3348140.4583086967,13.870008603401917,-0.0017921019316995408,-9395615.316894531,3348140.463317871,-0.5805181092146086,-0.008493345820170362,0.0694207216284631,2.7373684753664187,-2.7368755229830306,0.05194748912347969,-0.06932560913264751,0.0036327000707387924,0.009548960984330567,0.0,0.009548960984330567,0.002322790322659238,0.0,1e-09,0.03925565514491952,9.21034037197618,0.99,0.061557772009573485,0.032533311054735545,0.21560497028376066,0.012719756460181315,0.06962596945800328,0.21560497028376066,0.051495071038434446,1.9357645533268037e-11,0.07708703406179272,0.03408739557094123,0.08428737365260479,0.06385166178035952,0.061552071581560105,0.03254471056920329,0.21553255166628174,0.012719898657391012,0.06962625727421165,0.21553255166628174,0.05146389235164742,1.9334043197333102e-11,0.07709415307409867,0.03407205213974676,0.0842876810407439,0.06382049022890109,0.09846619381788613,0.3048602696955438,0.009695591324981517,0.014208774532479995,0.0,0.0694207216284631,0.99,True,0.0,False,False,0.0,False,False
1,36.934000000000076,crash,2,37,-9395616.610884475,3348140.4604153237,11.311654026137523,0.0003156731215589707,-9395615.294433594,3348140.4728393555,1.1643385834468063,0.002448244029835678,-9395616.540428443,3348140.4584989045,13.835783250765102,-0.00019351141851258735,-9395615.316894531,3348140.463317871,-0.5839763408293948,-0.008538732674651328,0.07048209039923412,2.524137262442461,-2.5241295291760224,0.0062481671034998396,-0.07045603170990944,0.0019164192490279675,0.009548916351679737,0.0,0.009548916351679737,0.0023227904049654504,0.0,1e-09,0.03925528678629654,9.21034037197618,0.99,0.061545158377299354,0.03252606273153551,0.21559582144795592,0.012719804513790157,0.06961143064542377,0.21559582144795592,0.05148910292919056,1.931936297199908e-11,0.07708703406179272,0.03408739557094123,0.08428737365260479,0.06385166004823416,0.06154839289166287,0.032530861932755395,0.21551843407860002,0.012720024605625366,0.06961653284697888,0.21551843407860002,0.051456456099294064,1.9309237050472265e-11,0.07709415307409867,0.03407205213974676,0.0842876810407439,0.06382049134400461,0.09844903718237744,0.3048438184603892,0.009692212922137134,0.014208774532479995,0.0,0.07048209039923412,0.0,False,0.07048209039923412,True,False,0.0,False,False
